ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
1,STEGE – TUSEQUIS LTDA.,"STEGE – TUSEQUIS LTDA., Oficina adm.: Av. Roma N° 6815, Obrajes (Planta: Carr. Oruro Km 18, Senkata), Obrajes (of.) / Senkata, El Alto, Bolivia",Embutidos y Fiambres,Obrajes (of.) / Senkata,El Alto
2,EMBUTIDOS MANWIL TICONA SRL,"EMBUTIDOS MANWIL TICONA SRL, Planta: Villa Adela / Río Seco, El Alto (sin oficina separada publicada), Villa Dolores, El Alto, Bolivia",Embutidos y Fiambres,Villa Dolores,El Alto
3,FÁBRICA DE EMBUTIDOS OSFIM SRL,"FÁBRICA DE EMBUTIDOS OSFIM SRL, Av. Gral. Benigno Loza N° 268, Villa Fátima, La Paz, Bolivia",Embutidos y Fiambres,Villa Fátima,La Paz
4,EMBUTIDOS LA ESPAÑOLA,"EMBUTIDOS LA ESPAÑOLA, Goizueta N° 558, Zona Norte, La Paz, Bolivia",Embutidos y Fiambres,Zona Norte,La Paz
5,AVÍCOLA SOFÍA LTDA.,"AVÍCOLA SOFÍA LTDA., Oficina La Paz: Av. 15 de Abril N° 177 esq. Yolosa (CD: Senkata, El Alto), La Paz (of.) / Senkata, El Alto, Bolivia",Avícola / Alimentos procesados,La Paz (of.) / Senkata,El Alto
6,SOCIEDAD INDUSTRIAL Y COMERCIAL LA FRANCESA – SICLAF SA,"SOCIEDAD INDUSTRIAL Y COMERCIAL LA FRANCESA – SICLAF SA, Oficina central: Av. Estados Unidos N° 1161, Miraflores, Miraflores, La Paz, Bolivia",Panificadora Industrial,Miraflores,La Paz
7,FÁBRICA LA ESTRELLA SRL,"FÁBRICA LA ESTRELLA SRL, Planta: Carr. a Oruro Km 7, Rosas Pampa N° 50, El Alto (sin oficina separada), Rosas Pampa, La Paz, Bolivia",Snacks y Fideos,Rosas Pampa,La Paz
8,INDUSTRIAS ALIMENTICIAS FAGAL SRL – MABEL'S,"INDUSTRIAS ALIMENTICIAS FAGAL SRL – MABEL'S, Av. Diego de Ocaña N° 51 esq. Av. Del Policía, Sur, La Paz, Bolivia",Galletas,Sur,La Paz
9,PIL ANDINA S.A.,"PIL ANDINA S.A., Planta El Alto: Av. Juan Pablo II Km 15 (of. nacional en Cochabamba), Miraflores, La Paz, Bolivia",Lácteos y Alimentos Procesados,Miraflores,La Paz
10,SOALPRO SRL,"SOALPRO SRL, Av. Jaime Mendoza N° 1574, Ciudad Satélite, El Alto, Bolivia",Lácteos Procesados,Ciudad Satélite,El Alto
11,COMPAÑÍA DE ALIMENTOS LTDA. DELIZIA,"COMPAÑÍA DE ALIMENTOS LTDA. DELIZIA, Oficina central: Av. Mario Mercado, calle E N° 100, El Rosal, Bajo Seguencoma (Planta: Carr. Viacha Km 7), Bajo Seguencoma (of.), El Alto, Bolivia",Lácteos,Bajo Seguencoma (of.),El Alto
12,INDUSTRIA DE ALIMENTOS INAL LTDA.,"INDUSTRIA DE ALIMENTOS INAL LTDA., Ciudad Satélite, Ciudad Satélite, El Alto, Bolivia",Lácteos,Ciudad Satélite,El Alto
13,PAN CRIS SRL,"PAN CRIS SRL, c. 103 N° 50, Ciudad Satélite, El Alto, Bolivia",Panificadora,Ciudad Satélite,El Alto
14,CHOCOLATES EL CEIBO,"CHOCOLATES EL CEIBO, Av. Juan Pablo II N° 2560, Ciudad Satélite, El Alto, Bolivia",Chocolates / Cacao,Ciudad Satélite,El Alto
15,CUBO CÁRNICOS UNIDOS BOLIVIANOS SRL,"CUBO CÁRNICOS UNIDOS BOLIVIANOS SRL, La Paz, Centro, La Paz, Bolivia",Embutidos,Centro,La Paz
16,PRODUCTOS DE CALIDAD EMBUTIDOS BG SRL – BON GUSTO,"PRODUCTOS DE CALIDAD EMBUTIDOS BG SRL – BON GUSTO, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
17,EMCABOL LTDA. – SUMITA,"EMCABOL LTDA. – SUMITA, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
18,INDUSTRIAS DE ALIMENTOS CHUQUIFER SRL,"INDUSTRIAS DE ALIMENTOS CHUQUIFER SRL, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
19,INDUSTRIA DE ALIMENTOS ALDETAN SRL,"INDUSTRIA DE ALIMENTOS ALDETAN SRL, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
20,SOCIEDAD ALIMENTOS PROCESADOS SANTIAGO SRL,"SOCIEDAD ALIMENTOS PROCESADOS SANTIAGO SRL, Av. Jaime Mendoza N° 1574, Ciudad Satélite, El Alto, Bolivia",Panificadora/Alimentos,Ciudad Satélite,El Alto
21,TITOS PRODUCTOS NATURALES SRL,"TITOS PRODUCTOS NATURALES SRL, Av. Cecilio Acosta N° 2000, Villa Adela, El Alto, Bolivia",Cereales y Productos Naturales,Villa Adela,El Alto
22,COMPAÑÍA MOLINERA BOLIVIANA SA,"COMPAÑÍA MOLINERA BOLIVIANA SA, La Paz, La Paz, Bolivia",Molinera / Harinas,La Paz,La Paz
23,MOLINO ANDINO SA,"MOLINO ANDINO SA, Oficina: Calle México N° 1554, Edif. Chuquiago P.1, San Pedro, San Pedro, La Paz, Bolivia",Molinera / Harinas,San Pedro,La Paz
24,EMBUTIDOS LA NORTEÑA – ASPI VDA. DE TICONA,"EMBUTIDOS LA NORTEÑA – ASPI VDA. DE TICONA, El Alto, El Alto, Bolivia",Embutidos,El Alto,El Alto
25,EMBUTIDOS COPACABANA – PIZARRO SIÑANI ANTONIO,"EMBUTIDOS COPACABANA – PIZARRO SIÑANI ANTONIO, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
26,EMBUTIDOS LOS ANDES – ZENON CONDE MOLLO,"EMBUTIDOS LOS ANDES – ZENON CONDE MOLLO, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
27,LABORATORIOS VALENCIA,"LABORATORIOS VALENCIA, c. Gil Tapia Rada C-5, Obrajes, La Paz, Bolivia",Productos Naturales y Alimenticios,Obrajes,La Paz
28,ABEFLOR – MIEL Y PRODUCTOS APÍCOLAS,"ABEFLOR – MIEL Y PRODUCTOS APÍCOLAS, La Paz, La Paz, Bolivia",Alimentos Naturales,La Paz,La Paz
29,POLLOS COPACABANA SA,"POLLOS COPACABANA SA, Oficina central: Calle Daniel Salamanca N° 308, Pura Pura, Pura Pura, La Paz, Bolivia",Cadena de Restaurantes – Pollos,Pura Pura,La Paz
30,BURGER KING BOLIVIA,"BURGER KING BOLIVIA, Av. Ballivián y C. 19 (principal), Calacoto, La Paz, Bolivia",Cadena de Comida Rápida – Hamburguesas,Calacoto,La Paz
33,HAMBURGUESAS TOBY,"HAMBURGUESAS TOBY, Megacenter La Paz / La Jungla Plaza Camacho, Zona Sur / Centro, La Paz, Bolivia",Cadena de Hamburguesas,Zona Sur / Centro,La Paz
34,DUMBO – HELADERÍA Y RESTAURANTE,"DUMBO – HELADERÍA Y RESTAURANTE, Central: Av. 16 de Julio N° 1543, El Prado (suc. Zona Sur: c. Montenegro esq. Pancara N° 842), Centro / San Miguel, La Paz, Bolivia",Cadena de Heladerías y Cafeterías,Centro / San Miguel,La Paz
35,HARD ROCK CAFE LA PAZ,"HARD ROCK CAFE LA PAZ, Calle 15 entre Sánchez Bustamante y Julio Patiño, Bl. El Bosque, Calacoto, La Paz, Bolivia",Restaurante Internacional – Cadena,Calacoto,La Paz
